NAME,S1501_C01_006E,S1501_C01_015E,S1501_C01_016E,S1501_C01_018E,S1501_C01_019E,S1501_C01_021E,S1501_C01_022E,S1501_C01_024E,S1501_C01_025E,S1501_C01_027E
Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
ZCTA5 00601,11934,1960,2137,528,1925,362,4761,813,3111,257
ZCTA5 00602,27304,5519,4659,1413,4696,1245,11096,2180,6853,681
ZCTA5 00603,33487,7706,5604,1526,5945,1761,11990,3054,9948,1365
ZCTA5 00606,4568,347,606,71,862,56,1826,128,1274,92
ZCTA5 00610,19167,3558,3090,924,3422,807,7321,1288,5334,539
ZCTA5 00612,42157,10356,7110,1784,7186,2372,15062,3922,12799,2278
ZCTA5 00616,7424,1486,1338,368,1145,238,2882,745,2059,135
ZCTA5 00617,16668,3629,3076,1072,3335,1090,5747,1018,4510,449
ZCTA5 00622,5418,1097,752,333,520,83,2049,484,2097,197
ZCTA5 00623,29664,8017,4612,1432,5646,2266,10593,3332,8813,987
ZCTA5 00624,14843,3217,2860,783,2633,764,5817,1351,3533,319
ZCTA5 00627,22484,4678,3792,1046,4010,1142,8615,1760,6067,730
ZCTA5 00631,1190,177,221,71,177,51,333,23,459,32
ZCTA5 00637,15581,3050,2303,611,2740,828,5614,1158,4924,453
ZCTA5 00638,11643,1839,2006,355,1861,509,4437,681,3339,294
ZCTA5 00641,19179,3686,3179,827,2975,736,7482,1461,5543,662
ZCTA5 00646,25505,7655,4154,1461,5390,1934,9715,3256,6246,1004
ZCTA5 00647,4043,747,530,199,622,179,1407,198,1484,171
ZCTA5 00650,9847,1345,1749,286,1969,287,3492,576,2637,196
ZCTA5 00652,2589,644,364,79,574,206,848,252,803,107
ZCTA5 00653,7232,1006,1088,208,1340,225,2520,453,2284,120
ZCTA5 00656,12906,3193,2265,842,2255,750,4684,1037,3702,564
ZCTA5 00659,28797,7090,5020,1555,5233,1622,10758,2867,7786,1046
ZCTA5 00660,11870,2720,1593,405,1913,669,4062,1122,4302,524
ZCTA5 00662,28269,6365,4845,1410,5208,1677,10443,2080,7773,1198
ZCTA5 00664,9918,1791,1935,547,1864,293,3764,766,2355,185
ZCTA5 00667,16519,2595,2208,585,2613,385,6161,1164,5537,461
ZCTA5 00669,17762,3358,3113,871,3090,623,6702,1226,4857,638
